epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,568.44,1.28301,2.33106,1.78368,0.72264,0.43619,0.39508,0.26607,1.25675,2.53946,2.06878,0.000369238,0.000369238,0.000369238
2,1122.4,0.96435,1.54977,1.51364,0.72734,0.42212,0.41121,0.26656,1.1898,2.05661,1.91995,0.000373483,0.000373483,0.000373483
